nCH	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6		Pulse	Threshold
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3257
 [04]	00306	00654	00695	00613	01000	01000		00047	-3059
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3063
 [04]	00306	00654	00695	00613	01000	01000		00050	-2908
 [04]	00306	00654	00695	00613	01000	01000		-0016	-2978
 [04]	00306	00654	00695	00613	01000	01000		00666	-2527
 [04]	00306	00654	00695	00613	01000	01000		-0017	-3021
 [04]	00306	00654	00695	00613	01000	01000		00065	-2786
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3414
 [04]	00306	00654	00695	00613	01000	01000		00048	-2669
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2815
 [04]	00306	00654	00695	00613	01000	01000		00046	-2560
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3229
 [04]	00306	00654	00695	00613	01000	01000		00050	-2683
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3146
 [04]	00306	00654	00695	00613	01000	01000		00666	-2858
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3528
 [04]	00306	00654	00695	00613	01000	01000		00066	-3198
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3319
 [04]	00306	00654	00695	00613	01000	01000		00048	-2784
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3329
 [04]	00306	00654	00695	00613	01000	01000		00047	-2973
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3130
 [04]	00306	00654	00695	00613	01000	01000		00050	-2820
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3041
 [04]	00306	00654	00695	00613	01000	01000		00666	-3105
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3376
 [04]	00306	00654	00695	00613	01000	01000		00065	-2737
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2851
 [04]	00306	00654	00695	00613	01000	01000		00048	-2948
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3181
 [04]	00306	00654	00695	00613	01000	01000		00046	-2516
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2667
 [04]	00306	00654	00695	00613	01000	01000		00049	-2326
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2567
 [04]	00306	00654	00695	00613	01000	01000		00666	-2507
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2949
 [04]	00306	00654	00695	00613	01000	01000		00065	-2827
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3390
 [04]	00306	00654	00695	00613	01000	01000		00048	-2712
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2747
 [04]	00306	00654	00695	00613	01000	01000		00046	-2606
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3202
 [04]	00306	00654	00695	00613	01000	01000		00050	-2737
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3099
 [04]	00306	00654	00695	00613	01000	01000		00666	-3021
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3439
 [04]	00306	00654	00695	00613	01000	01000		00065	-2676
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2956
 [04]	00306	00654	00695	00613	01000	01000		00048	-2884
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3237
 [04]	00306	00654	00695	00613	01000	01000		00046	-2461
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2776
 [04]	00306	00654	00695	00613	01000	01000		00049	-2287
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2665
 [04]	00306	00654	00695	00613	01000	01000		00666	-2469
 [04]	00306	00654	00695	00613	01000	01000		-0017	-3060
 [04]	00306	00654	00695	00613	01000	01000		00065	-2764
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3448
 [04]	00306	00654	00695	00613	01000	01000		00048	-2646
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2847
 [04]	00306	00654	00695	00613	01000	01000		00046	-2540
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3262
 [04]	00306	00654	00695	00613	01000	01000		00050	-2653
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3159
 [04]	00306	00654	00695	00613	01000	01000		00666	-2926
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3509
 [04]	00306	00654	00695	00613	01000	01000		00066	-3228
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3295
 [04]	00306	00654	00695	00613	01000	01000		00048	-2817
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3299
 [04]	00306	00654	00695	00613	01000	01000		00047	-3001
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3107
 [04]	00306	00654	00695	00613	01000	01000		00050	-2858
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3017
 [04]	00306	00654	00695	00613	01000	01000		00666	-3030
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3407
 [04]	00306	00654	00695	00613	01000	01000		00065	-2712
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2877
